experiment,fold,strategy,params,risk_fraction,direction_mode,session_preset,cooldown_bars_after_stop,minimum_stop_distance_to_cost,cost_multiplier,total_return_pct,max_drawdown_pct,trade_count
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=europe_us|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",3,breakout,{'lookback': 20},0.005,both,europe_us,0,1.5,1.5,-2.6634969653694607,2.6634969653694607,1
breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime=none,1,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,13.282860872739954,15.174520837631922,43
breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime=none,1,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,-2.1782094819076336,7.7291769099295475,35
breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime=none,2,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,-8.641039942263385,22.53378391677503,52
breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime=none,2,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,-9.090645835631362,23.401882010480733,47
breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime=none,3,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,-12.083225666055109,22.052260419188674,42
breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime=none,3,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,-9.190982444373752,14.69240240636951,35
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",1,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,-1.8253466692303877,1.8603839133704003,2
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",1,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,-1.023023136645962,1.91016299529162,1
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",2,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,4.565300231705605,10.00069180994776,4
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",2,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,5.866441046245807,8.788557593422263,4
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",3,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,-5.225524790077274,9.573270456704218,4
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",3,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,-4.482405352805186,5.649736870325395,3
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",1,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",1,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",2,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.0,-2.19802556675055,3.460256991031463,1
"breakout|{'lookback': 20}|risk=0.005|dir=long_only|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",2,breakout,{'lookback': 20},0.005,long_only,all,0,1.5,1.5,0.0,0.0,0
